Month_Since_2004,DataScience,MachineLearning
1,12,16
2,10,14
3,7,12
4,7,16
5,5,14
6,7,11
7,8,10
8,7,11
9,11,14
10,8,11
11,9,10
12,6,12
13,7,11
14,7,14
15,6,11
16,7,12
17,7,10
18,5,11
19,5,9
20,6,7
21,8,9
22,7,10
23,7,10
24,5,10
25,7,10
26,6,9
27,6,10
28,6,10
29,6,10
30,4,7
31,4,6
32,4,5
33,7,9
34,6,9
35,5,10
36,6,8
37,6,8
38,7,9
39,7,8
40,6,8
41,5,8
42,4,8
43,4,6
44,5,7
45,6,10
46,7,9
47,6,9
48,6,8
49,7,8
50,7,8
51,5,8
52,6,8
53,5,7
54,4,6
55,3,6
56,4,5
57,8,8
58,7,9
59,7,8
60,6,6
61,7,7
62,7,9
63,7,8
64,7,9
65,5,7
66,5,7
67,4,6
68,5,8
69,9,10
70,8,10
71,7,10
72,6,8
73,8,8
74,8,9
75,6,9
76,7,10
77,6,7
78,5,7
79,4,6
80,6,7
81,8,8
82,6,10
83,7,8
84,7,8
85,8,8
86,7,10
87,7,9
88,7,9
89,6,9
90,4,8
91,4,7
92,6,8
93,10,11
94,8,14
95,8,12
96,7,10
97,9,10
98,8,12
99,7,12
100,7,12
101,6,12
102,5,10
103,5,10
104,9,11
105,13,12
106,10,13
107,10,12
108,8,11
109,11,12
110,9,13
111,9,13
112,11,15
113,11,13
114,8,12
115,7,11
116,13,12
117,18,15
118,15,17
119,14,16
120,13,14
121,17,16
122,16,18
123,15,18
124,16,20
125,17,16
126,14,16
127,14,17
128,21,19
129,28,20
130,22,21
131,21,21
132,20,20
133,25,21
134,24,24
135,24,24
136,25,28
137,25,26
138,24,26
139,24,26
140,33,26
141,37,25
142,32,29
143,30,31
144,26,29
145,30,29
146,30,29
147,31,31
148,31,33
149,30,34
150,26,33
151,26,31
152,34,32
153,40,37
154,36,44
155,38,46
156,32,47
157,46,50
158,46,57
159,49,63
160,48,63
161,43,63
162,40,64
163,38,60
164,49,63
165,57,68
166,56,74
167,53,74
168,43,66
169,57,67
170,56,74
171,57,73
172,57,74
173,53,73
174,51,72
175,50,68
176,62,71
177,65,76
178,65,77
179,62,80
180,53,62
181,67,71
182,68,81
183,64,76
184,67,77
185,62,74
186,61,75
187,58,71
188,68,75
189,79,79
190,74,79
191,69,74
192,58,61
193,74,69
194,73,75
195,60,63
196,63,71
197,63,66
198,60,68
199,65,70
200,71,64
201,84,68
202,65,65
203,51,53
204,47,51
205,56,52
206,52,61
207,53,55
208,52,63
209,53,57
210,51,58
211,49,55
212,57,55
213,69,66
214,69,72
215,67,69
216,61,58
217,81,67
218,84,82
219,88,87
220,92,93
221,77,79
222,68,77
223,69,71
224,86,79
225,98,83
226,92,87
227,82,84
228,73,72
229,90,79
230,85,89
231,83,90
232,83,84
233,75,78
234,69,74
235,65,72
236,88,77
237,97,83
238,98,89
239,84,81
240,75,75
241,100,83
242,97,93
243,93,94
244,93,93
245,80,83
246,76,79
247,79,84
